Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
76;21100416035;"Trauma Case Reports";journal;"23526440";"Elsevier Ltd";Yes;No;0,200;Q3;14;151;502;2402;260;502;0,49;15,91;20,59;0;United Kingdom;Western Europe;"Elsevier Ltd";"2015-2026";"Critical Care and Intensive Care Medicine (Q3); Emergency Medicine (Q3); Orthopedics and Sports Medicine (Q4)";"Medicine"
77;21101054301;"Journal of Emergency and Critical Care Medicine";journal;"25213563";"AME Publishing Company";No;No;0,190;Q3;7;35;63;858;41;61;0,48;24,51;35,32;0;Hong Kong;Asiatic Region;"AME Publishing Company";"2020-2025";"Critical Care and Intensive Care Medicine (Q3); Emergency Medicine (Q3)";"Medicine"
78;21100787322;"Romanian Journal of Anaesthesia and Intensive Care";journal;"23927518, 25020307";"";Yes;No;0,184;Q3;15;0;4;0;3;4;0,75;0,00;0,00;0;Romania;Eastern Europe;"";"2014-2019, 2023";"Anesthesiology and Pain Medicine (Q3); Critical Care and Intensive Care Medicine (Q3); Emergency Medicine (Q3)";"Medicine"
79;145501;"Acute Medicine";journal;"17474884, 17474892";"Rila Publications Ltd";No;No;0,181;Q3;18;14;115;173;41;100;0,27;12,36;45,61;0;United Kingdom;Western Europe;"Rila Publications Ltd";"2005-2025";"Emergency Medicine (Q3); Critical Care and Intensive Care Medicine (Q4); Internal Medicine (Q4); Medicine (miscellaneous) (Q4)";"Medicine"
80;21101038514;"Russian Journal of Anesthesiology and Reanimatology /Anesteziologiya i Reanimatologiya";journal;"02017563, 24104698";"Media Sphera Publishing Group";No;No;0,180;Q3;13;70;217;2022;116;202;0,46;28,89;37,50;0;Russian Federation;Eastern Europe;"Media Sphera Publishing Group";"1976-2016, 2018-2025";"Anesthesiology and Pain Medicine (Q3); Emergency Medical Services (Q3); Emergency Medicine (Q3); Law (Q3); Critical Care and Intensive Care Medicine (Q4); Pathology and Forensic Medicine (Q4)";"Health Professions; Medicine; Social Sciences"
81;21101039106;"Journal of Health Administration";journal;"20081200, 20081219";"Iran University of Medical Sciences";Yes;No;0,177;Q3;7;15;95;589;42;93;0,27;39,27;29,82;0;Iran;Middle East;"Iran University of Medical Sciences";"2019-2025";"Emergency Medicine (Q3); Health Informatics (Q4); Health Information Management (Q4); Health Policy (Q4)";"Health Professions; Medicine"
82;21101055430;"Clinical Practice and Cases in Emergency Medicine";journal;"2474252X";"University of California - Department of Emergency Medicine";Yes;No;0,175;Q3;12;120;267;1239;124;254;0,37;10,33;37,92;0;United States;Northern America;"University of California - Department of Emergency Medicine";"2017-2026";"Emergency Medicine (Q3); Emergency Nursing (Q3)";"Medicine; Nursing"
83;21100244201;"Journal of Emergency Management";journal;"15435865";"Weston Medical Publishing";No;No;0,173;Q3;21;66;212;1393;115;197;0,52;21,11;46,97;0;United States;Northern America;"Weston Medical Publishing";"2008, 2012-2026";"Emergency Medicine (Q3); Medicine (miscellaneous) (Q4); Safety Research (Q4); Safety, Risk, Reliability and Quality (Q4)";"Engineering; Medicine; Social Sciences"
84;21101082212;"Journal of Research in Clinical Medicine";journal;"27170616";"Tabriz University of Medical Sciences";Yes;Yes;0,172;Q3;5;40;108;1220;56;104;0,53;30,50;28,65;1;Iran;Middle East;"Tabriz University of Medical Sciences";"2020-2026";"Emergency Medicine (Q3); Anesthesiology and Pain Medicine (Q4); Critical Care and Intensive Care Medicine (Q4); Geriatrics and Gerontology (Q4); Internal Medicine (Q4); Medicine (miscellaneous) (Q4)";"Medicine"
85;21101060899;"Bali Journal of Anesthesiology";journal;"25492276";"Wolters Kluwer Medknow Publications";Yes;Yes;0,170;Q3;5;48;146;1006;56;130;0,39;20,96;41,78;0;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2017-2025";"Emergency Medicine (Q3); Anesthesiology and Pain Medicine (Q4); Critical Care and Intensive Care Medicine (Q4); Critical Care Nursing (Q4); Emergency Nursing (Q4)";"Medicine; Nursing"
86;12700154704;"Journal of Emergency Medicine, Trauma and Acute Care";journal;"19997086, 19997094";"HBKU Press";Yes;Yes;0,168;Q3;9;46;220;1244;156;211;0,57;27,04;28,82;0;Qatar;Middle East;"HBKU Press";"2008-2009, 2012-2017, 2020-2026";"Emergency Medicine (Q3); Critical Care and Intensive Care Medicine (Q4)";"Medicine"
87;21101149697;"Emergency Care Journal";journal;"22822054, 18269826";"Page Press Publications";Yes;Yes;0,167;Q4;3;77;110;1559;42;81;0,38;20,25;44,88;0;Italy;Western Europe;"Page Press Publications";"2022-2025";"Emergency Medical Services (Q3); Emergency Medicine (Q4); Emergency Nursing (Q4)";"Health Professions; Medicine; Nursing"
88;21100197524;"Trauma Monthly";journal;"22517472, 22517464";"";Yes;No;0,152;Q4;27;36;140;1023;53;135;0,49;28,42;34,53;0;Iran;Middle East;"";"2011-2026";"Critical Care and Intensive Care Medicine (Q4); Emergency Medicine (Q4); Medicine (miscellaneous) (Q4); Surgery (Q4)";"Medicine"
89;21101093567;"Journal of Pediatric Emergency and Intensive Care Medicine (Turkey)";journal;"27179206";"Galenos Publishing House";Yes;No;0,148;Q4;4;15;93;265;33;90;0,27;17,67;47,73;0;Turkey;Middle East;"Galenos Publishing House";"2021-2025";"Critical Care and Intensive Care Medicine (Q4); Emergency Medicine (Q4); Pediatrics, Perinatology and Child Health (Q4)";"Medicine"
90;21101047723;"Journal of Arrhythmology";journal;"15618641, 26587327";"NJSC Institute of Cardiological Technology (INCART)";Yes;Yes;0,146;Q4;5;31;134;901;50;126;0,38;29,06;38,74;0;Russian Federation;Eastern Europe;"NJSC Institute of Cardiological Technology (INCART)";"2019-2026";"Cardiology and Cardiovascular Medicine (Q4); Emergency Medicine (Q4); Pharmacology (medical) (Q4)";"Medicine"
91;21100857526;"Russian Sklifosovsky Journal of Emergency Medical Care";journal;"22239022, 25418017";"Sklifosovsky Research Institute for Emergency Medicine";Yes;Yes;0,145;Q4;11;90;245;2477;75;242;0,32;27,52;36,32;0;Russian Federation;Eastern Europe;"Sklifosovsky Research Institute for Emergency Medicine";"2017-2025";"Emergency Medicine (Q4)";"Medicine"
92;16374;"Notarzt";journal;"14388693, 01772309";"Georg Thieme Verlag";No;No;0,142;Q4;13;64;219;660;27;123;0,07;10,31;23,70;0;Germany;Western Europe;"Georg Thieme Verlag";"1985-1993, 1999-2026";"Critical Care and Intensive Care Medicine (Q4); Emergency Medicine (Q4)";"Medicine"
93;21101041556;"Complex Issues of Cardiovascular Diseases";journal;"23061278, 25879537";"NII KPSSZ";No;No;0,140;Q4;9;124;317;3804;113;316;0,30;30,68;52,41;0;Russian Federation;Eastern Europe;"NII KPSSZ";"2019-2025";"Cardiology and Cardiovascular Medicine (Q4); Critical Care and Intensive Care Medicine (Q4); Emergency Medicine (Q4); Rehabilitation (Q4); Surgery (Q4)";"Medicine"
94;21394;"Anasthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS";journal;"14391074, 09392661";"Georg Thieme Verlag";Yes;No;0,136;Q4;31;56;293;1463;59;179;0,17;26,13;35,83;0;Germany;Western Europe;"Georg Thieme Verlag";"1980-2026";"Anesthesiology and Pain Medicine (Q4); Critical Care and Intensive Care Medicine (Q4); Emergency Medicine (Q4); Medicine (miscellaneous) (Q4)";"Medicine"
95;21100939599;"Kardiologiya i Serdechno-Sosudistaya Khirurgiya";journal;"23094737, 19966385";"Media Sphera Publishing Group";No;No;0,136;Q4;11;99;281;2420;66;281;0,24;24,44;41,08;0;Russian Federation;Eastern Europe;"Media Sphera Publishing Group";"2012-2025";"Cardiology and Cardiovascular Medicine (Q4); Emergency Medicine (Q4); Surgery (Q4)";"Medicine"
96;21101058281;"Frontiers in Emergency Medicine";journal;"27173593";"Tehran University of Medical Sciences";No;No;0,134;Q4;9;37;139;910;74;110;0,67;24,59;33,04;0;Iran;Middle East;"Tehran University of Medical Sciences";"2021-2025";"Emergency Medical Services (Q4); Emergency Medicine (Q4); Emergency Nursing (Q4)";"Health Professions; Medicine; Nursing"
97;21100982275;"Journal of Emergency Practice and Trauma";journal;"23834544";"Kerman University of Medical Sciences";Yes;Yes;0,134;Q4;6;3;83;111;21;76;0,20;37,00;35,71;0;Iran;Middle East;"Kerman University of Medical Sciences";"2019-2025";"Critical Care and Intensive Care Medicine (Q4); Emergency Medicine (Q4); Emergency Nursing (Q4)";"Medicine; Nursing"
98;21101041554;"Messenger of Anesthesiology and Resuscitation";journal;"20785658, 25418653";"New Terra Publishing House";Yes;Yes;0,134;Q4;8;73;225;2472;86;224;0,38;33,86;40,23;0;Russian Federation;Eastern Europe;"New Terra Publishing House";"2019-2025";"Anesthesiology and Pain Medicine (Q4); Critical Care and Intensive Care Medicine (Q4); Emergency Medicine (Q4)";"Medicine"
99;21100886212;"Medecine Intensive Reanimation";journal;"24966142";"Societe de Reanimation de Langue Francaise";No;No;0,133;Q4;5;0;1;0;0;1;0,00;0,00;0,00;0;France;Western Europe;"Societe de Reanimation de Langue Francaise";"2018-2022";"Emergency Medicine (Q4); Emergency Nursing (Q4)";"Medicine; Nursing"
100;21101242004;"Chinese Journal of Trauma";journal;"10018050";"Chinese Medical Journals Publishing House Co.Ltd";No;No;0,129;Q4;6;123;443;5002;133;443;0,29;40,67;32,15;0;China;Asiatic Region;"Chinese Medical Journals Publishing House Co.Ltd";"2020-2026";"Emergency Medicine (Q4); Orthopedics and Sports Medicine (Q4); Surgery (Q4)";"Medicine"
101;19971;"International Journal of Emergency Management";journal;"17415071, 14714825";"Inderscience Publishers";No;No;0,129;Q4;28;0;29;0;11;29;0,29;0,00;0,00;0;United Kingdom;Western Europe;"Inderscience Publishers";"2003-2024";"Emergency Medicine (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Medicine"
102;21100202939;"Annales Francaises de Medecine d'Urgence";journal;"21086591, 21086524";"John Libbey";Yes;No;0,127;Q4;14;62;181;1302;24;126;0,12;21,00;34,62;0;France;Western Europe;"John Libbey";"2011-2025";"Emergency Medicine (Q4)";"Medicine"
103;21101186835;"Regional Anesthesia and Acute Pain Management";journal;"19936508, 26871394";"Eco-Vector LLC";No;No;0,127;Q4;4;31;83;1124;28;83;0,38;36,26;48,68;0;Russian Federation;Eastern Europe;"Eco-Vector LLC";"2021-2025";"Anesthesiology and Pain Medicine (Q4); Emergency Medical Services (Q4); Emergency Medicine (Q4)";"Health Professions; Medicine"
104;21101169013;"Russian Journal of Pediatric Surgery, Anesthesia and Intensive Care";journal;"25876554, 22194061";"Eco-Vector LLC";No;No;0,126;Q4;5;49;157;1402;32;141;0,25;28,61;36,45;0;Russian Federation;Eastern Europe;"Eco-Vector LLC";"2019-2025";"Anesthesiology and Pain Medicine (Q4); Emergency Medicine (Q4); Pediatrics, Perinatology and Child Health (Q4); Surgery (Q4)";"Medicine"
105;21101105772;"Craniomaxillofacial Research and Innovation";journal;"27528464";"SAGE Publications Ltd";No;No;0,124;Q4;2;0;28;0;7;28;0,42;0,00;0,00;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2022-2023";"Emergency Medicine (Q4); Oral Surgery (Q4); Otorhinolaryngology (Q4); Surgery (Q4)";"Dentistry; Medicine"
106;3200147821;"Chinese Journal of Emergency Medicine";journal;"16710282";"Chinese Medical Journals Publishing House Co.Ltd";No;No;0,123;Q4;8;114;442;2888;88;438;0,16;25,33;43,80;0;China;Asiatic Region;"Chinese Medical Journals Publishing House Co.Ltd";"2006-2026";"Emergency Medicine (Q4); Emergency Nursing (Q4)";"Medicine; Nursing"
107;21100431882;"Visual Journal of Emergency Medicine";journal;"24054690";"Elsevier Inc.";No;No;0,122;Q4;6;233;919;887;33;919;0,04;3,81;41,67;0;United States;Northern America;"Elsevier Inc.";"2015-2026";"Emergency Medicine (Q4)";"Medicine"
108;21101392350;"Anatolian journal of emergency medicine";journal;"26514311";"Turkiye Acil Tıp Dernegi";No;No;0,121;Q4;2;32;105;744;16;103;0,16;23,25;29,41;0;Turkey;Middle East;"Turkiye Acil Tıp Dernegi";"2022-2025";"Emergency Medicine (Q4); Medicine (miscellaneous) (Q4)";"Medicine"
109;4000149102;"Oxymag";journal;"09901310";"Elsevier Masson s.r.l.";No;No;0,121;Q4;2;43;141;687;6;88;0,03;15,98;44,58;0;France;Western Europe;"Elsevier Masson s.r.l.";"2006-2026";"Emergency Medicine (Q4); Emergency Nursing (Q4)";"Medicine; Nursing"
110;21101151823;"Emergency Medicine (Ukraine)";journal;"23071230, 22240586";"Zaslavsky Publishing House";Yes;No;0,119;Q4;5;113;275;3018;64;252;0,29;26,71;36,98;0;Ukraine;Eastern Europe;"Zaslavsky Publishing House";"2019-2025";"Anesthesiology and Pain Medicine (Q4); Emergency Medicine (Q4)";"Medicine"
111;21101023405;"Journal of Endovascular Resuscitation and Trauma Management";journal;"2003539X, 20027567";"Orebro University Hospital";Yes;Yes;0,112;Q4;9;11;72;206;9;55;0,12;18,73;35,19;0;Sweden;Western Europe;"Orebro University Hospital";"2017-2025";"Critical Care and Intensive Care Medicine (Q4); Emergency Medicine (Q4); Surgery (Q4)";"Medicine"
112;21101257049;"Journal of Clinical Emergency";journal;"10095918";"";No;No;0,110;Q4;4;76;392;1824;46;392;0,15;24,00;43,31;0;China;Asiatic Region;"";"2020-2025";"Emergency Medicine (Q4)";"Medicine"
113;4000150801;"Praticien en Anesthesie Reanimation";journal;"12797960";"Elsevier Masson s.r.l.";No;No;0,108;Q4;6;61;168;1127;11;146;0,07;18,48;39,81;0;France;Western Europe;"Elsevier Masson s.r.l.";"2006-2026";"Anesthesiology and Pain Medicine (Q4); Emergency Medicine (Q4); Emergency Nursing (Q4)";"Medicine; Nursing"
114;21100228103;"Journal Europeen des Urgences et de Reanimation";journal;"22114238";"Elsevier Masson s.r.l.";No;No;0,102;Q4;4;0;40;0;2;28;0,00;0,00;0,00;0;France;Western Europe;"Elsevier Masson s.r.l.";"2011-2023";"Critical Care and Intensive Care Medicine (Q4); Emergency Medicine (Q4)";"Medicine"
115;21101392035;"Medical physics – the current status, problems, the way of development. Innovation technologies";book series;"30411491";"Taras Shevchenko National University of Kyiv";No;No;0,101;Q4;1;0;53;0;0;52;0,00;0,00;0,00;0;Ukraine;Eastern Europe;"Taras Shevchenko National University of Kyiv";"2021, 2024";"Emergency Medicine (Q4); Public Health, Environmental and Occupational Health (Q4); Radiation (Q4); Radiology, Nuclear Medicine and Imaging (Q4)";"Medicine; Physics and Astronomy"
