Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
19;5300152611;"European Journal of Trauma and Emergency Surgery";journal;"18639933, 18639941";"Springer International Publishing AG";No;No;0,788;Q1;58;366;1147;12479;3028;1108;2,50;34,10;27,31;0;Germany;Western Europe;"Springer International Publishing AG";"2006-2026";"Emergency Medicine (Q1); Surgery (Q1); Critical Care and Intensive Care Medicine (Q2); Orthopedics and Sports Medicine (Q2)";"Medicine"
20;29689;"Emergency Medicine Journal";journal;"14720213, 14720205";"BMJ Publishing Group";No;No;0,784;Q1;105;226;590;3401;1074;411;1,49;15,05;53,87;0;United Kingdom;Western Europe;"BMJ Publishing Group";"1996-2026";"Emergency Medicine (Q1); Critical Care and Intensive Care Medicine (Q2); Medicine (miscellaneous) (Q2)";"Medicine"
21;15207;"American Journal of Emergency Medicine";journal;"15328171, 07356757";"W.B. Saunders";No;No;0,773;Q1;120;769;2043;16531;4128;1405;2,15;21,50;35,86;2;United States;Northern America;"W.B. Saunders";"1983-2026";"Emergency Medicine (Q1); Medicine (miscellaneous) (Q2)";"Medicine"
22;29801;"Injury";journal;"00201383, 18790267";"Elsevier Ltd";No;No;0,773;Q1;157;628;1999;19054;4821;1764;2,34;30,34;29,68;3;United Kingdom;Western Europe;"Elsevier Ltd";"1969-2026";"Emergency Medicine (Q1); Surgery (Q1); Orthopedics and Sports Medicine (Q2)";"Medicine"
23;19900193277;"Western Journal of Emergency Medicine";journal;"1936900X, 19369018";"eScholarship";Yes;No;0,740;Q1;65;243;444;6508;1051;424;2,19;26,78;42,42;0;United States;Northern America;"eScholarship";"2011-2026";"Emergency Medicine (Q1); Medicine (miscellaneous) (Q2)";"Medicine"
24;29574;"Burns";journal;"03054179, 18791409";"Elsevier Ltd";No;No;0,725;Q1;129;353;853;11313;2047;659;2,32;32,05;41,29;1;United Kingdom;Western Europe;"Elsevier Ltd";"1974-2026";"Emergency Medicine (Q1); Surgery (Q1); Critical Care and Intensive Care Medicine (Q2); Medicine (miscellaneous) (Q2)";"Medicine"
25;29694;"European Journal of Emergency Medicine";journal;"14735695, 09699546";"Lippincott Williams and Wilkins";No;No;0,701;Q1;61;105;309;2174;624;194;2,30;20,70;40,19;0;United States;Northern America;"Lippincott Williams and Wilkins";"1994-2026";"Emergency Medicine (Q1)";"Medicine"
26;21101017909;"Archives of Academic Emergency Medicine";journal;"26454904";"Shaheed Beheshti University of Medical Sciences and Health Services";Yes;No;0,690;Q1;29;82;231;2738;646;216;2,86;33,39;37,47;0;Iran;Middle East;"Shaheed Beheshti University of Medical Sciences and Health Services";"2019-2026";"Emergency Medical Services (Q1); Emergency Medicine (Q1); Emergency Nursing (Q1)";"Health Professions; Medicine; Nursing"
27;11700154712;"Traumatology";journal;"15347656, 10859373";"SAGE Publications Ltd";No;No;0,665;Q1;61;98;192;5588;477;192;1,94;57,02;66,85;0;United States;Northern America;"SAGE Publications Ltd";"1996-1999, 2002-2006, 2008-2025";"Emergency Medicine (Q1); Nursing (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q2)";"Medicine; Nursing"
28;19700175857;"Emergencias";journal;"23865857, 11376821";"Saned";No;No;0,642;Q1;32;122;340;1947;557;154;1,88;15,96;46,56;0;Spain;Western Europe;"Saned";"2010-2026";"Emergency Medicine (Q1)";"Medicine"
29;21101108654;"JACEP Open";journal;"26881152";"Elsevier Inc.";Yes;No;0,638;Q1;31;227;664;3814;974;536;1,32;16,80;41,55;0;United States;Northern America;"Elsevier Inc.";"2020-2026";"Emergency Medicine (Q1)";"Medicine"
30;29666;"EMA - Emergency Medicine Australasia";journal;"17426731, 17426723";"John Wiley and Sons Inc";No;No;0,586;Q2;69;247;563;4751;811;437;1,37;19,23;50,06;1;United States;Northern America;"John Wiley and Sons Inc";"2004-2026";"Emergency Medicine (Q2); Medicine (miscellaneous) (Q2)";"Medicine"
31;145428;"Canadian Journal of Emergency Medicine";journal;"14818035, 14818043";"Springer Nature";No;No;0,583;Q2;60;229;544;2845;553;282;0,91;12,42;47,42;2;Switzerland;Western Europe;"Springer Nature";"1999-2026";"Emergency Medicine (Q2)";"Medicine"
32;14500154757;"International Journal of Emergency Medicine";journal;"18651372, 18651380";"Springer London";Yes;No;0,565;Q2;45;272;362;7736;794;359;1,97;28,44;36,68;1;United Kingdom;Western Europe;"Springer London";"2009-2026";"Emergency Medicine (Q2)";"Medicine"
33;29582;"Chinese Journal of Traumatology - English Edition";journal;"10081275";"Elsevier B.V.";Yes;Yes;0,557;Q2;42;102;189;3143;471;185;2,45;30,81;30,73;0;Netherlands;Western Europe;"Elsevier B.V.";"2001-2026";"Emergency Medicine (Q2); Public Health, Environmental and Occupational Health (Q2); Surgery (Q2); Orthopedics and Sports Medicine (Q3)";"Medicine"
34;21100900274;"AEM Education and Training";journal;"24725390";"John Wiley &amp; Sons Inc.";No;No;0,555;Q2;30;125;312;3349;511;268;1,45;26,79;51,66;0;United States;Northern America;"John Wiley &amp; Sons Inc.";"2017-2026";"Education (Q2); Emergency Medicine (Q2); Emergency Nursing (Q2)";"Medicine; Nursing; Social Sciences"
35;19700182448;"Open Access Emergency Medicine";journal;"11791500";"Dove Medical Press Ltd";Yes;No;0,549;Q2;31;37;151;1093;299;148;1,74;29,54;34,00;0;New Zealand;Pacific Region;"Dove Medical Press Ltd";"2010-2026";"Emergency Medicine (Q2); Emergency Nursing (Q2)";"Medicine; Nursing"
36;21100905055;"Clinical and Experimental Emergency Medicine";journal;"23834625";"Korean Society of Emergency Medicine";Yes;Yes;0,523;Q2;23;60;191;1340;381;135;2,27;22,33;30,67;0;South Korea;Asiatic Region;"Korean Society of Emergency Medicine";"2014, 2018-2025";"Emergency Medicine (Q2); Emergency Nursing (Q2)";"Medicine; Nursing"
37;21100853891;"World Journal of Emergency Medicine";journal;"19208642";"Second Affiliated Hospital, Zhejiang University School of Medicine";No;No;0,513;Q2;21;119;303;2730;513;207;1,61;22,94;45,53;0;China;Asiatic Region;"Second Affiliated Hospital, Zhejiang University School of Medicine";"2012-2013, 2015-2026";"Emergency Medicine (Q2)";"Medicine"
38;15722;"Pediatric Emergency Care";journal;"07495161, 15351815";"Lippincott Williams and Wilkins";No;No;0,508;Q2;82;233;957;5707;1161;880;1,03;24,49;54,77;0;United States;Northern America;"Lippincott Williams and Wilkins";"1985-2026";"Emergency Medicine (Q2); Pediatrics, Perinatology and Child Health (Q2); Medicine (miscellaneous) (Q3)";"Medicine"
39;29667;"Emergency Medicine Clinics of North America";journal;"15580539, 07338627";"W.B. Saunders";No;No;0,507;Q2;70;73;200;3174;384;163;1,66;43,48;44,72;1;United States;Northern America;"W.B. Saunders";"1983-2026";"Emergency Medicine (Q2)";"Medicine"
40;4000151705;"Journal of Burn Care and Research";journal;"15590488, 1559047X";"Oxford University Press";No;No;0,486;Q2;100;205;656;6187;1167;623;1,76;30,18;47,24;0;United States;Northern America;"Oxford University Press";"2006-2026";"Emergency Medicine (Q2); Rehabilitation (Q2); Surgery (Q2); Medicine (miscellaneous) (Q3)";"Medicine"
41;12214;"Journal of Emergency Medicine";journal;"07364679, 10901280";"Elsevier Inc.";No;No;0,460;Q2;103;365;724;7972;942;625;1,29;21,84;38,10;2;United States;Northern America;"Elsevier Inc.";"1983-2026";"Emergency Medicine (Q2)";"Medicine"
42;19900194818;"African Journal of Emergency Medicine";journal;"22114203, 2211419X";"African Federation for Emergency Medicine";Yes;No;0,434;Q2;30;77;192;1751;281;169;1,23;22,74;38,37;0;South Africa;Africa;"African Federation for Emergency Medicine";"2011-2026";"Critical Care Nursing (Q2); Emergency Medicine (Q2); Emergency Nursing (Q2); Geochemistry and Petrology (Q3); Gerontology (Q3)";"Earth and Planetary Sciences; Medicine; Nursing"
43;20901;"Wilderness and Environmental Medicine";journal;"10806032, 15451534";"SAGE Publications Inc.";No;No;0,426;Q2;60;162;291;4529;382;222;1,38;27,96;37,07;1;United States;Northern America;"SAGE Publications Inc.";"1995-2026";"Emergency Medicine (Q2); Public Health, Environmental and Occupational Health (Q3); Sports Science (Q3)";"Health Professions; Medicine"
44;21100438328;"Health Security";journal;"23265108, 23265094";"Mary Ann Liebert Inc.";No;No;0,420;Q2;53;52;228;1667;292;159;1,04;32,06;49,54;0;United States;Northern America;"Mary Ann Liebert Inc.";"2015-2025";"Emergency Medicine (Q2); Safety Research (Q2); Health (social science) (Q3); Health, Toxicology and Mutagenesis (Q3); Management, Monitoring, Policy and Law (Q3); Public Health, Environmental and Occupational Health (Q3)";"Environmental Science; Medicine; Social Sciences"
45;21100853574;"Emergency Medicine International";journal;"20902840, 20902859";"John Wiley and Sons Ltd";Yes;No;0,416;Q2;10;48;92;1610;156;91;1,70;33,54;40,74;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2011-2012, 2014-2020, 2022-2026";"Emergency Medicine (Q2)";"Medicine"
46;21101184585;"Paramedicine";journal;"27536386";"SAGE Publications Inc.";No;No;0,415;Q2;21;43;63;1807;123;47;2,43;42,02;54,78;1;United States;Northern America;"SAGE Publications Inc.";"2023-2026";"Emergency Medical Services (Q1); Emergency Medicine (Q2); Emergency Nursing (Q2)";"Health Professions; Medicine; Nursing"
47;16671;"Emergency Radiology";journal;"14381435, 10703004";"Springer Science and Business Media Deutschland GmbH";No;No;0,409;Q2;56;116;306;2857;425;298;1,15;24,63;32,15;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1994-2026";"Emergency Medicine (Q2); Radiology, Nuclear Medicine and Imaging (Q3)";"Medicine"
48;34839;"Ulusal Travma ve Acil Cerrahi Dergisi";journal;"1306696X, 13077945";"Turkish Association of Trauma and Emergency Surgery";No;No;0,377;Q2;33;173;600;4382;808;595;1,34;25,33;19,25;0;Turkey;Middle East;"Turkish Association of Trauma and Emergency Surgery";"2003-2004, 2006-2026";"Emergency Medicine (Q2); Anesthesiology and Pain Medicine (Q3); Surgery (Q3)";"Medicine"
49;4700152443;"AACN Advanced Critical Care";journal;"15597776, 15597768";"American Association of Critical-Care Nurses";No;No;0,348;Q2;52;51;157;1036;169;152;1,02;20,31;81,65;0;United States;Northern America;"American Association of Critical-Care Nurses";"2006-2025";"Emergency Medicine (Q2); Critical Care Nursing (Q3); Medicine (miscellaneous) (Q3)";"Medicine; Nursing"
50;21101173097;"Journal of Critical Care Medicine";journal;"23931817, 23931809";"Sciendo";Yes;No;0,348;Q2;19;50;113;1414;162;100;1,12;28,28;45,34;0;Poland;Eastern Europe;"Sciendo";"2015-2026";"Critical Care and Intensive Care Medicine (Q2); Emergency Medicine (Q2); Anesthesiology and Pain Medicine (Q3); Pulmonary and Respiratory Medicine (Q3)";"Medicine"
51;21100198555;"Medizinische Klinik - Intensivmedizin und Notfallmedizin";journal;"21936218, 21936226";"Springer Medizin";No;No;0,324;Q2;24;163;323;4953;445;264;1,47;30,39;34,63;0;Germany;Western Europe;"Springer Medizin";"1997, 2002, 2011-2026";"Emergency Medicine (Q2); Emergency Nursing (Q2); Critical Care and Intensive Care Medicine (Q3); Internal Medicine (Q3)";"Medicine; Nursing"
52;21100909460;"Turkish Journal of Anaesthesiology and Reanimation";journal;"26676370, 2667677X";"Galenos Publishing House";Yes;No;0,322;Q2;21;53;224;1239;230;199;1,17;23,38;49,05;0;Turkey;Middle East;"Galenos Publishing House";"2019-2026";"Emergency Medicine (Q2); Anesthesiology and Pain Medicine (Q3)";"Medicine"
53;26994;"Air Medical Journal";journal;"15326497, 1067991X";"Elsevier Inc.";No;No;0,321;Q2;32;118;321;2353;286;310;0,81;19,94;34,38;0;United States;Northern America;"Elsevier Inc.";"1993-2026";"Emergency Medicine (Q2); Emergency Nursing (Q3)";"Medicine; Nursing"
54;19700183041;"Journal of Emergencies, Trauma and Shock";journal;"09742700, 0974519X";"Wolters Kluwer Medknow Publications";Yes;No;0,321;Q2;46;48;158;940;100;102;0,64;19,58;34,65;0;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2009-2025";"Emergency Medicine (Q2)";"Medicine"
55;21101079124;"Journal of Integrated Disaster Risk Management";journal;"21858322";"IDRiM Society";No;No;0,297;Q2;7;28;53;1656;85;52;1,67;59,14;50,00;0;Japan;Asiatic Region;"IDRiM Society";"2019-2026";"Emergency Medicine (Q2); Urban Studies (Q2); Business, Management and Accounting (miscellaneous) (Q3); Management, Monitoring, Policy and Law (Q3); Management Science and Operations Research (Q3); Safety Research (Q3); Safety, Risk, Reliability and Quality (Q3); Social Psychology (Q3); Global and Planetary Change (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering; Environmental Science; Medicine; Psychology; Social Sciences"
56;21101094911;"Emergency and Critical Care Medicine";journal;"2693860X, 20970617";"Lippincott Williams and Wilkins";Yes;Yes;0,293;Q2;7;36;106;1136;105;102;0,83;31,56;35,40;0;United States;Northern America;"Lippincott Williams and Wilkins";"2021-2025";"Emergency Medicine (Q2); Critical Care and Intensive Care Medicine (Q3)";"Medicine"
57;21100823138;"Malaysian Orthopaedic Journal";journal;"2232111X, 19852533";"Malaysian Orthopaedic Association";Yes;No;0,293;Q2;20;60;180;1101;167;164;0,91;18,35;14,39;0;Malaysia;Asiatic Region;"Malaysian Orthopaedic Association";"2015-2025";"Emergency Medicine (Q2); Orthopedics and Sports Medicine (Q3); Surgery (Q3)";"Medicine"
58;59726;"Trauma (United Kingdom)";journal;"14770350, 14604086";"SAGE Publications Ltd";No;No;0,285;Q2;23;38;175;964;127;153;0,67;25,37;32,11;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1999-2026";"Emergency Medicine (Q2); Critical Care and Intensive Care Medicine (Q3); Surgery (Q3)";"Medicine"
59;12408;"Notfall und Rettungsmedizin";journal;"14360578, 14346222";"Springer Medizin";No;No;0,274;Q3;27;253;381;4163;271;295;0,72;16,45;28,54;1;Germany;Western Europe;"Springer Medizin";"1999-2001, 2003-2026";"Emergency Medicine (Q3)";"Medicine"
60;21101101204;"Burns Open";journal;"24689122";"Elsevier B.V.";Yes;No;0,271;Q3;16;54;134;1343;135;133;0,94;24,87;41,35;0;Netherlands;Western Europe;"Elsevier B.V.";"2017-2026";"Critical Care and Intensive Care Medicine (Q3); Dermatology (Q3); Emergency Medicine (Q3); Surgery (Q3)";"Medicine"
61;21101052760;"Journal of Public Health and Emergency";journal;"25200054";"AME Publishing Company";No;No;0,271;Q3;11;40;112;1686;105;89;1,05;42,15;47,58;0;Hong Kong;Asiatic Region;"AME Publishing Company";"2017, 2019-2025";"Emergency Medicine (Q3); Public Health, Environmental and Occupational Health (Q3)";"Medicine"
62;21101146384;"Health in Emergencies and Disasters Quarterly";journal;"23454210";"Negah Institute for Social Research and Scientific Communication";Yes;Yes;0,259;Q3;9;33;103;1225;94;90;0,85;37,12;36,57;0;Iran;Middle East;"Negah Institute for Social Research and Scientific Communication";"2019-2026";"Emergency Medical Services (Q2); Building and Construction (Q3); Civil and Structural Engineering (Q3); Emergency Medicine (Q3); Social Sciences (miscellaneous) (Q3)";"Engineering; Health Professions; Medicine; Social Sciences"
63;4800152316;"Advanced Emergency Nursing Journal";journal;"19314493, 19314485";"Lippincott Williams and Wilkins";No;No;0,254;Q3;26;57;151;763;124;138;0,56;13,39;66,67;0;United States;Northern America;"Lippincott Williams and Wilkins";"2006-2026";"Emergency Medicine (Q3); Emergency Nursing (Q3)";"Medicine; Nursing"
64;21101140510;"Unfallchirurgie (Germany)";journal;"2731703X, 27317021";"Springer Medizin";No;No;0,240;Q3;57;137;415;3065;267;332;0,67;22,37;20,85;0;Germany;Western Europe;"Springer Medizin";"2022-2026";"Emergency Medicine (Q3); Orthopedics and Sports Medicine (Q3); Surgery (Q3)";"Medicine"
65;145168;"Acta Medica Indonesiana";journal;"01259326, 23382732";"Indonesian Society of Internal Medicine";Yes;No;0,239;Q3;38;70;228;1912;162;210;0,61;27,31;46,67;0;Indonesia;Asiatic Region;"Indonesian Society of Internal Medicine";"2004-2025";"Emergency Medicine (Q3); Immunology (Q4); Immunology and Allergy (Q4)";"Immunology and Microbiology; Medicine"
